code,name,source,cal,protein_g,carb_g,fat_g,fiber_g,serving_desc,serving_g
USDA-167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",USDA,307,5.9,41.2,13.2,1.2,,
USDA-167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",USDA,330,4.3,53.4,11.3,1.4,,
USDA-167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",USDA,377,6.1,79.8,3.7,,,
USDA-167515,"George Weston Bakeries, Thomas English Muffins",USDA,232,8,46,1.8,,,
USDA-167516,"Waffles, buttermilk, frozen, ready-to-heat",USDA,273,6.6,41.1,9.2,2.2,,
USDA-167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",USDA,309,7.4,48.4,9.5,2.6,,
USDA-167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",USDA,289,6.9,44.2,9.4,2.4,,
USDA-167519,"Waffle, plain, frozen, ready-to-heat, microwave",USDA,298,6.7,45.4,9.9,2.4,,
USDA-167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",USDA,501,5.1,64.3,24.8,1.9,,
USDA-167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",USDA,484,6.1,64.5,22.4,2.7,,
USDA-167522,"Pie, Dutch Apple, Commercially Prepared",USDA,290,2.2,44.5,11.5,1.6,,
USDA-167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",USDA,468,5.5,46.8,28.7,1.4,,
USDA-167524,"Waffles, chocolate chip, frozen, ready-to-heat",USDA,297,5.8,45.7,10.1,1.5,,
USDA-167525,"Tostada shells, corn",USDA,474,6.2,64.4,23.4,5.8,,
USDA-167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",USDA,374,7.1,47.8,17.1,0.7,,
USDA-167527,"Bread, pound cake type, pan de torta salvadoran",USDA,390,7.1,51.3,17.5,1.7,,
USDA-167528,"Pastry, Pastelitos de Guava (guava pastries)",USDA,379,5.5,47.8,18.5,2.2,,
USDA-167529,"Crackers, snack, Goya Crackers",USDA,433,14.3,64.4,13.4,3.8,,
USDA-167530,"Crackers, cream, Gamesa Sabrosas",USDA,484,7,64.6,20.4,2.4,,
USDA-167531,"Crackers, cream, La Moderna Rikis Cream Crackers",USDA,464,7.2,64.9,19.5,2.4,,
USDA-167532,"Bread, white wheat",USDA,238,10.7,43.9,2.2,9.2,,
USDA-167533,"Bagels, wheat",USDA,250,10.2,48.9,1.5,4.1,,
USDA-167534,"Cream puff, eclair, custard or cream filled, iced",USDA,334,4.4,37.4,18.5,0.9,,
USDA-167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",USDA,297,8,49.3,7.6,2.4,,
USDA-167536,"Snacks, beef jerky, chopped and formed",USDA,410,33.2,11,25.6,1.8,,
USDA-167537,"Snacks, corn-based, extruded, chips, plain",USDA,539,6.2,57.3,33.4,4,,
USDA-167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",USDA,523,7,56.2,32.7,5.2,,
USDA-167539,"Snacks, corn-based, extruded, cones, plain",USDA,510,5.8,62.9,26.9,1.1,,
USDA-167540,"Snacks, fruit leather, pieces",USDA,359,1,82.8,2.7,0,,
USDA-167541,"Snacks, fruit leather, rolls",USDA,371,0.1,85.8,3,0,,
USDA-167542,"Snacks, granola bars, hard, plain",USDA,471,10.1,64.4,19.8,5.3,,
USDA-167543,"Snacks, granola bars, hard, almond",USDA,495,7.7,62,25.5,4.8,,
USDA-167544,"Snacks, granola bars, soft, uncoated, raisin",USDA,448,7.6,66.4,17.8,4.2,,
USDA-167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",USDA,466,5.8,63.8,24.9,3.4,,
USDA-167546,"Candies, honey-combed, with peanut butter",USDA,473,8.7,67.4,20.2,1.9,,
USDA-167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",USDA,508,10.2,53.4,31.1,2.8,,
USDA-167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",USDA,432,9.8,62.2,20,4.2,,
USDA-167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",USDA,583,7.3,45.1,43.6,8.1,,
USDA-167550,"Snacks, popcorn, cakes",USDA,384,9.7,80.1,3.1,2.9,,
USDA-167551,"Snacks, popcorn, caramel-coated, with peanuts",USDA,400,6.4,80.7,7.8,3.8,,
USDA-167552,"Snacks, popcorn, caramel-coated, without peanuts",USDA,431,3.8,79.1,12.8,5.2,,
USDA-167553,"Snacks, potato chips, made from dried potatoes, reduced fat",USDA,502,4.6,64.8,26.1,3.2,,
USDA-167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",USDA,547,6.6,51.3,37,1.2,,
USDA-167555,"Snacks, pretzels, hard, plain, salted",USDA,384,10,80.4,2.9,3.4,,
USDA-167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",USDA,457,7.5,70.9,16.7,2.4,,
USDA-167557,"Snacks, rice cakes, brown rice, sesame seed",USDA,392,7.6,81.5,3.8,5.4,,
USDA-167558,"Snacks, tortilla chips, plain, white corn, salted",USDA,472,7.1,67.8,20.7,5.4,,
USDA-167559,"Snacks, tortilla chips, nacho cheese",USDA,519,7.4,60.8,27.4,5.1,,
USDA-167560,"Snacks, tortilla chips, ranch-flavor",USDA,501,7.2,62.7,24.6,4,,
USDA-167561,"Snacks, trail mix, regular",USDA,462,13.8,44.9,29.4,,,
USDA-167562,"Candies, ALMOND JOY Candy Bar",USDA,479,4.1,59.5,26.9,5,,
USDA-167563,"Candies, TWIZZLERS CHERRY BITES",USDA,338,3,79.4,1.7,0.1,,
USDA-167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",USDA,388,2,80.9,7.5,0.2,,
USDA-167565,"Candies, NESTLE, BUTTERFINGER Bar",USDA,459,5.4,72.9,18.9,2,,
USDA-167566,"Candies, caramels, chocolate-flavor roll",USDA,387,1.6,87.7,3.3,0.1,,
USDA-167567,"Baking chocolate, unsweetened, liquid",USDA,472,12.1,36.2,47.7,18.1,,
USDA-167568,"Baking chocolate, unsweetened, squares",USDA,642,14.3,28.4,52.3,16.6,,
USDA-167569,"Candies, confectioner's coating, yogurt",USDA,522,5.9,63.9,27,0,,
USDA-167570,"Candies, confectioner's coating, peanut butter",USDA,529,18.3,46.9,29.8,5,,
USDA-167571,"Candies, white chocolate",USDA,539,5.9,59.2,32.1,0.2,,
USDA-167572,"Ice creams, vanilla, light",USDA,180,4.8,29.5,4.8,0.3,,
USDA-167573,"Ice creams, vanilla, rich",USDA,249,3.5,22.3,16.2,0,,
USDA-167574,"Desserts, flan, caramel custard, prepared-from-recipe",USDA,145,4.5,22.8,4,0,,
USDA-167575,"Ice creams, vanilla",USDA,207,3.5,23.6,11,0.7,,
USDA-167576,"Ice creams, vanilla, light, soft-serve",USDA,126,4.9,21.8,2.6,0,,
USDA-167577,"Sherbet, orange",USDA,144,1.1,30.4,2,1.3,,
USDA-167578,"Candies, fudge, peanut butter, prepared-from-recipe",USDA,387,3.8,77.8,6.6,0.7,,
USDA-167579,"Candies, fudge, vanilla, prepared-from-recipe",USDA,383,1.1,82.2,5.5,0,,
USDA-167580,"Candies, fudge, vanilla with nuts",USDA,435,3,74.6,13.7,0.9,,
USDA-167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",USDA,512,9.7,53,34,9.7,,
USDA-167582,"Candies, NESTLE, BABY RUTH Bar",USDA,475,5.4,64.8,21.6,2,,
USDA-167583,"Candies, TWIZZLERS Strawberry Twists Candy",USDA,348,2.6,79.2,2.3,0,,
USDA-167584,"Syrups, table blends, pancake, with butter",USDA,291,0,72.4,0.1,0,,
USDA-167585,"Ice creams, chocolate, light",USDA,187,5,25.7,7.2,0.8,,
USDA-167586,"Candies, NESTLE, CHUNKY Bar",USDA,519,7.5,60.4,27.5,2.5,,
USDA-167587,"Candies, milk chocolate",USDA,535,7.7,59.4,29.7,3.4,,
USDA-167588,"Puddings, banana, dry mix, instant, prepared with 2% milk",USDA,105,2.8,19.7,1.7,0,,
USDA-167589,"Puddings, banana, dry mix, regular, prepared with 2% milk",USDA,101,2.9,18.4,1.7,0,,
USDA-167590,"Andrea's, Gluten Free Soft Dinner Roll",USDA,257,5.7,40.2,8.2,2.9,,
USDA-167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",USDA,456,10.9,67.2,15.9,7.5,,
USDA-167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",USDA,474,2.2,76,17.9,2.5,,
USDA-167593,"Glutino, Gluten Free Cookies, Vanilla Creme",USDA,487,2.2,77.3,18.8,0,,
USDA-167594,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",USDA,467,9.4,65.8,18.4,2.4,,
USDA-167595,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",USDA,459,11.2,64.7,17.3,3.5,,
USDA-167596,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",USDA,469,9.7,65.1,18.9,3.5,,
USDA-167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",USDA,320,3.1,52.8,10.7,3.5,,
USDA-167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",USDA,298,5.4,51.2,8,5.5,,
USDA-167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",USDA,309,7.3,49.1,9.3,4.9,,
USDA-167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls",USDA,329,11.8,44.3,11.6,11.2,,
USDA-167601,"Van's, Gluten Free, Totally Original Pancakes",USDA,215,3.3,40.3,4.6,1.5,,
USDA-167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",USDA,259,15.3,46.2,1.4,36.7,,
USDA-167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",USDA,31,1.9,5.6,0.2,4.5,,
USDA-167604,"Potatoes, hash brown, refrigerated, unprepared",USDA,84,1.8,19.2,0.1,1.8,,
USDA-167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",USDA,242,3.2,34,10.3,3.6,,
USDA-167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",USDA,182,2.2,35.6,8.9,5.7,,
USDA-167607,"Moose, meat, raw (Alaska Native)",USDA,103,22.3,0,1.5,0,,
USDA-167608,"Mashu roots, raw (Alaska Native)",USDA,135,5.8,22.6,2.4,,,
USDA-167609,"Moose, liver, braised (Alaska Native)",USDA,155,24.4,3.4,4.9,,,
USDA-167610,"Seal, bearded (Oogruk), meat, raw (Alaska Native)",USDA,110,26.7,0,0.4,,,
USDA-167611,"Oil, bearded seal (Oogruk) (Alaska Native)",USDA,899,0.6,0,99.6,,,
USDA-167612,"Oopah (tunicate), whole animal (Alaska Native)",USDA,67,11.7,0,2.2,,,
USDA-167613,"Owl, horned, flesh, raw (Alaska Native)",USDA,136,22.7,0,5,,,
USDA-167614,"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",USDA,150,23.2,0,5.9,,,
USDA-167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",USDA,430,39.9,0,30,0,,
USDA-167616,"Fish, salmon, king, chinook, liver (Alaska Native)",USDA,156,16.6,4.3,8,,,
USDA-167617,"Duck, scoter, white-winged, meat (Alaska Native)",USDA,84,20.2,0,0.4,,,
USDA-167618,"Sea cucumber, yane (Alaska Native)",USDA,56,13,0,0.4,,,
USDA-167619,"Squirrel, ground, meat (Alaska Native)",USDA,111,19.3,0,3.8,,,
USDA-167620,"Tea, tundra, herb and laborador combination (Alaska Native)",USDA,1,0,0.2,0,,,
USDA-167621,"Walrus, meat, dried (Alaska Native)",USDA,251,57,0,2.6,,,
USDA-167622,"Deer (venison), sitka, raw (Alaska Native)",USDA,116,21.5,0,2.7,,,
USDA-167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",USDA,870,0.4,0,96.5,,,
USDA-167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",USDA,465,12.6,0,46.1,,,
USDA-167625,"Oil, whale, bowhead (Alaska Native)",USDA,900,0,0,100,,,
USDA-167626,"Fish, whitefish, broad, liver (Alaska Native)",USDA,104,11,5.1,4.4,,,
USDA-167627,"Mush, blue corn with ash (Navajo)",USDA,54,0.7,11.7,0.5,1.1,,
USDA-167628,"Cornmeal, blue (Navajo)",USDA,398,10.4,76.9,5.4,8.7,,
USDA-167629,"Melon, banana (Navajo)",USDA,21,0.8,4.1,0.2,0.3,,
